Natural herbaceous and shrub vegetation,Forests,Agricultural and livestock area,Non-vegetated area,Water bodies,Not observed,year
"155,734,205 ha (55.8%)","56,947,136 ha (20.4%)","37,831,932 ha (13.5%)","23,907,639 ha (8.6%)","4,155,676 ha (1.5%)","661,899 ha (0.2%)",1985
"154,879,125 ha (55.5%)","56,650,658 ha (20.3%)","39,267,567 ha (14.1%)","23,705,492 ha (8.5%)","4,172,908 ha (1.5%)","562,737 ha (0.2%)",1986
"153,829,086 ha (55.1%)","56,565,432 ha (20.3%)","40,242,785 ha (14.4%)","23,677,927 ha (8.5%)","4,351,433 ha (1.6%)","571,824 ha (0.2%)",1987
"153,839,209 ha (55.1%)","56,263,270 ha (20.1%)","40,520,519 ha (14.5%)","23,682,033 ha (8.5%)","4,281,425 ha (1.5%)","652,030 ha (0.2%)",1988
"153,362,209 ha (54.9%)","56,128,987 ha (20.1%)","41,094,421 ha (14.7%)","23,779,899 ha (8.5%)","4,239,288 ha (1.5%)","633,682 ha (0.2%)",1989
"153,137,478 ha (54.8%)","56,263,233 ha (20.1%)","41,184,108 ha (14.7%)","23,772,161 ha (8.5%)","4,238,236 ha (1.5%)","643,271 ha (0.2%)",1990
"152,876,672 ha (54.7%)","56,454,757 ha (20.2%)","41,214,024 ha (14.8%)","23,752,720 ha (8.5%)","4,313,802 ha (1.5%)","626,513 ha (0.2%)",1991
"152,917,963 ha (54.8%)","56,301,205 ha (20.2%)","41,243,577 ha (14.8%)","23,704,874 ha (8.5%)","4,449,942 ha (1.6%)","620,925 ha (0.2%)",1992
"153,183,721 ha (54.9%)","56,087,061 ha (20.1%)","41,153,239 ha (14.7%)","23,827,987 ha (8.5%)","4,375,803 ha (1.6%)","610,676 ha (0.2%)",1993
"152,976,981 ha (54.8%)","55,798,237 ha (20%)","41,670,188 ha (14.9%)","23,904,984 ha (8.6%)","4,297,537 ha (1.5%)","590,559 ha (0.2%)",1994
"152,330,414 ha (54.6%)","55,424,115 ha (19.8%)","42,655,038 ha (15.3%)","23,852,448 ha (8.5%)","4,302,986 ha (1.5%)","673,485 ha (0.2%)",1995
"151,753,493 ha (54.3%)","54,887,770 ha (19.7%)","43,811,919 ha (15.7%)","23,955,644 ha (8.6%)","4,215,748 ha (1.5%)","613,913 ha (0.2%)",1996
"151,293,845 ha (54.2%)","54,909,476 ha (19.7%)","44,239,800 ha (15.8%)","23,927,001 ha (8.6%)","4,271,785 ha (1.5%)","596,580 ha (0.2%)",1997
"151,988,784 ha (54.4%)","54,491,292 ha (19.5%)","44,345,343 ha (15.9%)","23,453,633 ha (8.4%)","4,398,351 ha (1.6%)","561,083 ha (0.2%)",1998
"151,797,762 ha (54.4%)","54,482,190 ha (19.5%)","44,586,811 ha (16%)","23,645,338 ha (8.5%)","4,175,036 ha (1.5%)","551,350 ha (0.2%)",1999
"152,209,994 ha (54.5%)","53,983,582 ha (19.3%)","44,633,084 ha (16%)","23,706,296 ha (8.5%)","4,160,669 ha (1.5%)","544,861 ha (0.2%)",2000
"152,378,891 ha (54.6%)","53,731,644 ha (19.2%)","44,610,181 ha (16%)","23,725,578 ha (8.5%)","4,212,999 ha (1.5%)","579,195 ha (0.2%)",2001
"152,420,291 ha (54.6%)","53,408,803 ha (19.1%)","44,873,508 ha (16.1%)","23,707,087 ha (8.5%)","4,223,188 ha (1.5%)","605,609 ha (0.2%)",2002
"152,280,703 ha (54.5%)","52,923,969 ha (19%)","45,642,185 ha (16.3%)","23,488,306 ha (8.4%)","4,263,358 ha (1.5%)","639,965 ha (0.2%)",2003
"151,901,177 ha (54.4%)","52,282,222 ha (18.7%)","46,607,206 ha (16.7%)","23,604,951 ha (8.5%)","4,186,404 ha (1.5%)","656,527 ha (0.2%)",2004
"151,157,489 ha (54.1%)","52,233,464 ha (18.7%)","47,460,948 ha (17%)","23,649,845 ha (8.5%)","4,133,630 ha (1.5%)","603,112 ha (0.2%)",2005
"150,881,318 ha (54%)","51,885,358 ha (18.6%)","48,028,391 ha (17.2%)","23,594,312 ha (8.4%)","4,228,300 ha (1.5%)","620,808 ha (0.2%)",2006
