Consolidated Secondary Vegetation,Recovery to Secondary Vegetation,year
 -  ha ( - %), -  ha ( - %),1985
"63,184 ha (20.1%)","250,405 ha (79.9%)",1986
"311,642 ha (19%)","1,326,049 ha (81%)",1987
"1,654,844 ha (57.2%)","1,240,020 ha (42.8%)",1988
"2,852,307 ha (72.1%)","1,101,657 ha (27.9%)",1989
"3,731,963 ha (74.6%)","1,271,895 ha (25.4%)",1990
"4,647,923 ha (78.4%)","1,278,170 ha (21.6%)",1991
"5,443,131 ha (81.4%)","1,246,343 ha (18.6%)",1992
"6,196,392 ha (84.5%)","1,134,227 ha (15.5%)",1993
"6,653,115 ha (86.3%)","1,056,101 ha (13.7%)",1994
"6,811,660 ha (85.7%)","1,132,283 ha (14.3%)",1995
"6,971,987 ha (87.6%)","984,345 ha (12.4%)",1996
"7,249,384 ha (86.5%)","1,135,323 ha (13.5%)",1997
"7,656,855 ha (79.5%)","1,970,684 ha (20.5%)",1998
"8,944,638 ha (88.5%)","1,158,610 ha (11.5%)",1999
"9,315,288 ha (85.8%)","1,547,873 ha (14.2%)",2000
"10,085,261 ha (88.1%)","1,363,637 ha (11.9%)",2001
"10,678,639 ha (90.3%)","1,142,912 ha (9.7%)",2002
"10,797,440 ha (90.1%)","1,189,547 ha (9.9%)",2003
"10,831,091 ha (90.7%)","1,108,684 ha (9.3%)",2004
"10,863,486 ha (89.5%)","1,267,797 ha (10.5%)",2005
"11,206,782 ha (91.2%)","1,081,703 ha (8.8%)",2006
"11,441,514 ha (91%)","1,125,411 ha (9%)",2007
"11,467,006 ha (90.3%)","1,231,438 ha (9.7%)",2008
"11,928,624 ha (92.6%)","946,591 ha (7.4%)",2009
"11,864,289 ha (90.1%)","1,298,361 ha (9.9%)",2010
"12,254,035 ha (92%)","1,063,673 ha (8%)",2011
"12,482,498 ha (90.2%)","1,361,250 ha (9.8%)",2012
"12,886,311 ha (90.6%)","1,334,438 ha (9.4%)",2013
"13,454,392 ha (90.2%)","1,466,264 ha (9.8%)",2014
"14,108,344 ha (90%)","1,569,030 ha (10%)",2015
"14,925,377 ha (91.7%)","1,350,620 ha (8.3%)",2016
"15,492,924 ha (92.6%)","1,240,970 ha (7.4%)",2017
"15,777,451 ha (93.5%)","1,099,631 ha (6.5%)",2018
"15,885,373 ha (93.1%)","1,171,103 ha (6.9%)",2019
"16,062,987 ha (93.7%)","1,087,775 ha (6.3%)",2020
"16,019,015 ha (93.8%)","1,067,608 ha (6.2%)",2021
"15,991,960 ha (93%)","1,197,139 ha (7%)",2022
"15,127,401 ha (100%)", -  ha ( - %),2023
"18,600,630 ha (100%)", -  ha ( - %),2024
